,ts,lat,lon,speed
0,2017-07-01 00:00:57,13.75066,100.541103,15
1,2017-07-01 00:01:27,13.75072,100.543333,10
2,2017-07-01 00:01:52,13.75066,100.543553,8
3,2017-07-01 00:02:12,13.75072,100.544273,23
4,2017-07-01 00:02:42,13.75111,100.546773,23
5,2017-07-01 00:03:12,13.75113,100.547883,1
6,2017-07-01 00:03:42,13.75122,100.55025,32
7,2017-07-01 00:04:12,13.75105,100.5533,39
8,2017-07-01 00:04:42,13.75041,100.55583,27
9,2017-07-01 00:05:02,13.75011,100.55661,4
10,2017-07-01 00:05:27,13.749693,100.55775,31
11,2017-07-01 00:05:57,13.749383,100.55944,6
12,2017-07-01 00:06:57,13.748633,100.56525,33
13,2017-07-01 00:07:12,13.748583,100.5663,20
14,2017-07-01 00:07:42,13.748353,100.567527,0
15,2017-07-01 00:08:12,13.748053,100.570047,35
16,2017-07-01 00:08:42,13.747603,100.572217,28
17,2017-07-01 00:08:57,13.747383,100.573137,19
18,2017-07-01 00:09:57,13.746603,100.576417,34
19,2017-07-01 00:10:42,13.746053,100.579107,6
20,2017-07-01 00:11:12,13.745583,100.580937,34
21,2017-07-01 00:11:27,13.745353,100.582027,27
22,2017-07-01 00:11:57,13.744853,100.583993,22
23,2017-07-01 00:12:42,13.744833,100.584553,0
24,2017-07-01 00:13:12,13.744743,100.584833,32
25,2017-07-01 00:13:27,13.744583,100.585553,12
26,2017-07-01 00:13:57,13.744053,100.587553,32
27,2017-07-01 00:14:42,13.743133,100.591053,33
28,2017-07-01 00:15:12,13.743103,100.591443,0
29,2017-07-01 00:15:42,13.742243,100.591213,23
30,2017-07-01 00:15:57,13.741493,100.590993,13
31,2017-07-01 00:16:57,13.739663,100.589833,29
32,2017-07-01 00:17:12,13.738743,100.589443,21
33,2017-07-01 00:17:27,13.738083,100.589083,16
34,2017-07-01 00:17:57,13.736523,100.588303,34
35,2017-07-01 00:18:42,13.734943,100.587663,0
36,2017-07-01 00:18:57,13.734913,100.587663,0
37,2017-07-01 00:19:42,13.734853,100.587663,1
38,2017-07-01 00:19:57,13.734553,100.587583,9
39,2017-07-01 00:20:42,13.733773,100.587213,1
40,2017-07-01 00:21:12,13.733297,100.587023,1
41,2017-07-01 00:22:27,13.732797,100.586853,7
42,2017-07-01 00:22:57,13.732687,100.586803,0
43,2017-07-01 00:23:42,13.732607,100.586803,3
44,2017-07-01 00:23:57,13.732327,100.586693,10
45,2017-07-01 00:24:42,13.731687,100.586463,5
46,2017-07-01 00:25:12,13.730637,100.586053,19
47,2017-07-01 00:25:27,13.730027,100.585833,16
48,2017-07-01 00:25:57,13.729687,100.585713,7
49,2017-07-01 00:26:42,13.727357,100.585023,22
50,2017-07-01 00:26:57,13.726937,100.584993,3
51,2017-07-01 00:27:52,13.725437,100.584633,35
52,2017-07-01 00:28:12,13.724107,100.584493,37
53,2017-07-01 00:28:42,13.722667,100.584493,9
54,2017-07-01 00:29:12,13.721467,100.584383,28
55,2017-07-01 00:29:42,13.720917,100.584333,0
56,2017-07-01 00:30:12,13.720917,100.584303,0
57,2017-07-01 00:30:42,13.720887,100.584333,0
