ลำดับป้ายรถเมล์,ชื่อภาษาไทย,ชื่อภาษาอังกฤษ,รายละเอียด,ละติจูด,ลองติจูด,ชื่ออ้างอิง,ชื่ออ้างอิงภาษาอังกฤษ
42,ตรงข้ามวัดสมรโกฏิ,wat samon kot,ถนน รัตนาธิเบศร์,13.8628192904097,100.501513141519,ตรงข้าม วัดสมรโกฏิ,"wat samon kot,"
43,ซอยรัชดาภิเษก 14,soi ratchadaphisek 14 ( trongkham rongrian kun nathi ),ถนน รัชดาภิเษก,13.7822569438787,100.573950562164,ตรงข้ามโรงเรียนกุนนที,"soi ratchadaphisek 14 ( trongkham rongrian kun nathi ),"
45,แยกประชาอุทิศ,Pracha Uthit Junction,ถนน สุขสวัสดิ์ ขาออก,13.6728149373278,100.507043838432,แยกประชาอุทิศ,Pracha Uthit Junction
46,สจล.(คณะวิทยาศาสตร์),KMITL (Faculty of Science),ถนน ฉลองกรุง ขาเข้า,13.7289752926015,100.778133403063,สจล. (คณะวิทยาศาสตร์),KMITL (Faculty of Science)
47,โรงเรียนอนุบาลชุติมา, anuban chutima school,ถนน ศรีนครินทร์,13.7478361623219,100.643979754554,โรงเรียนอนุบาลชุติมา,"rongrian anuban chutima,"
49,ซอยอิสรภาพ 15,soi issarapab 15,ถนน อิสรภาพ,13.7329508421128,100.491896941324,ซอยอิสรภาพ 15,"soi issarapab 15,"
50,โรงเรียนศิลปวัฒนา,sillapawittana school,ถนน เจริญกรุง,13.71155206,100.51208232,โรงเรียนศิลปวัฒนา,"sillapawittana school,"
51,ตรงข้ามหมู่บ้านสวัสดิการทหารบก,Trongkham muban sawatdikan thahan bok,ถนน รามอินทรา,13.8493181006812,100.642448745013,ตรงข้ามหมู่บ้านสวัสดิการทหารบก,"Trongkham muban sawatdikan thahan bok,"
52,แอร์ลิงค์คอนโด,Airlink condo,ถนน ร่มเกล้า ขาเข้า,13.7360172781354,100.746284703004,แอร์ลิงค์ คอนโด,Airlink condo
53,ซอยลาดพร้าว 73 ทางลัดซอย 71,soi lad phao 73,ถนน ลาดพร้าว,13.7932850255665,100.611225551996,"ซอยลาดพร้าว 73 ทางลัดซอย71,ซอยลาดพร้าว 73, ทางลัดซอย71","soi lad phao 73,"
